,id,carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
0,0,0.32,Ideal,I,SI1,60.5,58.0,4.43,4.49,2.7,4,1,2
1,1,1.24,Premium,I,SI1,62.9,60.0,6.8,6.74,4.26,1,1,2
2,2,1.66,Premium,D,SI1,62.0,59.0,7.55,7.6,4.7,1,5,2
3,3,0.75,Premium,D,SI2,60.6,56.0,5.94,5.9,3.59,1,5,0
4,4,1.5,Fair,E,SI2,64.8,55.0,7.26,7.15,4.67,0,6,0
5,5,0.82,Ideal,H,VS2,61.5,56.0,6.01,6.08,3.72,4,2,3
6,6,0.54,Ideal,G,SI2,61.8,54.0,5.24,5.28,3.25,4,3,0
7,7,0.45,Good,D,VS2,63.7,61.0,4.81,4.73,3.04,2,5,3
8,8,0.31,Very Good,G,SI1,63.2,57.0,4.3,4.27,2.71,3,3,2
9,9,0.3,Premium,D,VS2,60.7,60.0,4.37,4.33,2.64,1,5,3
10,10,1.5,Good,F,VS2,60.2,58.0,7.31,7.35,4.41,2,4,3
11,11,0.53,Ideal,H,VS1,60.8,57.0,5.24,5.29,3.2,4,2,4
12,12,1.0,Good,H,VS2,63.6,57.0,6.35,6.26,4.01,2,2,3
13,13,0.81,Ideal,F,VS1,62.3,55.0,5.97,6.0,3.73,4,4,4
14,14,0.33,Premium,G,VS1,61.3,58.0,4.42,4.45,2.72,1,3,4
15,15,0.5,Good,E,SI1,63.3,58.0,4.99,5.03,3.17,2,6,2
16,16,0.58,Ideal,G,IF,60.9,57.0,5.39,5.46,3.3,4,3,7
17,17,0.29,Ideal,G,VS2,60.7,55.0,4.31,4.35,2.63,4,3,3
18,18,1.7,Premium,I,VS2,62.2,58.0,7.6,7.65,4.74,1,1,3
19,19,1.07,Ideal,G,VVS1,61.4,55.0,6.59,6.66,4.06,4,3,6
20,20,0.42,Ideal,I,VS1,62.0,55.0,4.85,4.83,3.0,4,1,4
21,21,1.5,Premium,H,SI2,61.5,58.0,7.38,7.32,4.52,1,2,0
22,22,2.01,Premium,I,SI2,62.1,60.0,8.1,8.03,5.01,1,1,0
23,23,0.43,Premium,F,SI2,58.3,62.0,4.97,4.91,2.88,1,4,0
24,24,1.57,Ideal,H,SI1,61.8,55.0,7.47,7.51,4.63,4,2,2
25,25,0.5,Premium,E,SI1,62.4,58.0,5.06,5.01,3.14,1,6,2
26,26,0.52,Premium,H,SI1,61.6,57.0,5.2,5.15,3.19,1,2,2
27,27,2.01,Premium,G,SI1,61.8,59.0,8.15,8.09,5.02,1,3,2
28,28,0.72,Ideal,D,VS1,61.6,56.0,5.8,5.73,3.55,4,5,4
29,29,1.0,Good,D,SI1,60.4,64.0,6.3,6.39,3.83,2,5,2
30,30,0.34,Ideal,H,IF,60.8,56.0,4.56,4.55,2.77,4,2,7
31,31,1.11,Ideal,H,SI2,61.3,60.0,6.68,6.66,4.09,4,2,0
32,32,1.04,Premium,I,SI1,61.8,60.0,6.51,6.47,4.01,1,1,2
33,33,0.3,Premium,H,SI1,61.3,61.0,4.27,4.25,2.61,1,2,2
34,34,2.08,Very Good,D,SI2,60.1,59.0,8.29,8.37,5.01,3,5,0
35,35,1.0,Very Good,H,VS2,64.7,56.0,6.23,6.29,4.05,3,2,3
36,36,1.58,Very Good,G,SI2,60.0,53.0,7.59,7.64,4.57,3,3,0
37,37,0.7,Very Good,E,SI2,63.2,61.0,5.62,5.59,3.54,3,6,0
38,38,1.66,Ideal,H,IF,61.5,57.0,7.59,7.62,4.68,4,2,7
39,39,2.03,Premium,G,SI1,61.3,59.0,8.11,8.08,4.96,1,3,2
40,40,1.51,Very Good,E,SI2,58.8,58.0,7.53,7.61,4.45,3,6,0
41,41,0.9,Ideal,G,VS2,62.0,57.0,6.22,6.19,3.85,4,3,3
42,42,0.54,Premium,H,SI1,61.0,58.0,5.27,5.23,3.2,1,2,2
43,43,0.91,Premium,F,VS2,62.2,58.0,6.21,6.17,3.85,1,4,3
44,44,0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07,1,3,4
45,45,0.3,Ideal,F,SI1,62.9,57.0,4.27,4.25,2.68,4,4,2
46,46,0.34,Very Good,E,SI2,61.7,61.0,4.47,4.51,2.77,3,6,0
47,47,2.15,Very Good,I,SI2,63.4,56.0,8.2,8.15,5.18,3,1,0
48,48,1.23,Ideal,H,VS2,62.2,55.0,6.85,6.81,4.25,4,2,3
49,49,1.04,Very Good,E,SI1,59.6,59.0,6.56,6.59,3.92,3,6,2
50,50,0.51,Very Good,G,VVS2,62.2,56.0,5.1,5.13,3.18,3,3,5
51,51,0.4,Very Good,F,VVS1,62.9,55.0,4.71,4.74,2.97,3,4,6
52,52,0.52,Ideal,F,VVS1,59.8,59.0,5.21,5.25,3.13,4,4,6
53,53,0.7,Very Good,F,SI1,61.7,61.0,5.67,5.7,3.51,3,4,2
54,54,0.42,Premium,F,VS1,60.9,59.0,4.85,4.8,2.94,1,4,4
55,55,0.32,Ideal,E,VVS2,61.9,54.0,4.41,4.44,2.74,4,6,5
56,56,1.2,Good,F,VS2,63.8,60.0,6.6,6.65,4.23,2,4,3
57,57,1.51,Premium,H,VVS1,60.6,60.0,7.42,7.4,4.49,1,2,6
58,58,0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71,4,6,3
59,59,0.43,Premium,I,IF,61.2,58.0,4.88,4.83,2.97,1,1,7
60,60,0.6,Ideal,H,VS2,62.1,55.0,5.42,5.46,3.38,4,2,3
61,61,1.01,Ideal,E,SI2,62.2,56.0,6.42,6.45,4.0,4,6,0
62,62,0.31,Ideal,D,VS2,61.8,56.0,4.39,4.35,2.7,4,5,3
63,63,0.7,Very Good,D,SI1,63.7,60.0,5.57,5.61,3.56,3,5,2
64,64,0.78,Premium,D,SI1,60.4,57.0,6.02,5.97,3.62,1,5,2
65,65,0.54,Ideal,E,VS2,62.2,55.0,5.24,5.21,3.25,4,6,3
66,66,1.5,Very Good,I,IF,62.9,58.0,7.21,7.31,4.57,3,1,7
67,67,0.8,Very Good,D,SI1,58.2,63.0,6.07,6.03,3.52,3,5,2
68,68,0.7,Good,H,VS2,64.2,58.0,5.58,5.61,3.59,2,2,3
69,69,0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63,4,4,3
70,70,1.5,Premium,F,VS2,61.3,58.0,7.36,7.31,4.5,1,4,3
71,71,0.43,Good,J,SI2,63.7,57.0,4.79,4.76,3.04,2,0,0
72,72,0.35,Premium,F,VS2,61.4,59.0,4.53,4.56,2.79,1,4,3
73,73,0.74,Ideal,E,SI1,61.6,54.0,5.82,5.9,3.61,4,6,2
74,74,0.32,Very Good,H,VVS2,61.6,55.0,4.42,4.44,2.73,3,2,5
75,75,0.33,Ideal,E,VS1,60.6,57.0,4.49,4.52,2.73,4,6,4
76,76,0.32,Ideal,F,VS1,61.3,56.0,4.44,4.4,2.71,4,4,4
77,77,1.51,Very Good,I,SI1,61.4,60.0,7.37,7.33,4.51,3,1,2
78,78,0.41,Ideal,H,SI1,61.2,57.0,4.78,4.76,2.92,4,2,2
79,79,0.7,Premium,I,SI2,62.1,60.0,5.65,5.62,3.5,1,1,0
80,80,0.77,Ideal,I,VS1,61.4,56.0,5.9,5.93,3.63,4,1,4
81,81,0.3,Ideal,G,VVS2,62.2,54.0,4.29,4.33,2.68,4,3,5
82,82,1.01,Very Good,F,SI2,63.2,58.0,6.43,6.3,4.02,3,4,0
83,83,0.43,Good,F,VS1,63.4,57.0,4.76,4.8,3.03,2,4,4
84,84,1.12,Ideal,J,SI2,62.5,57.0,6.63,6.59,4.13,4,0,0
85,85,0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,4,1,3
86,86,0.5,Ideal,E,SI1,60.1,57.0,5.14,5.27,3.13,4,6,2
87,87,0.5,Very Good,E,SI2,58.0,63.0,5.22,5.19,3.02,3,6,0
88,88,0.76,Ideal,G,SI1,61.2,57.0,5.85,5.9,3.59,4,3,2
89,89,1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2,0,2
90,90,0.29,Very Good,G,VVS1,61.5,57.0,4.24,4.27,2.62,3,3,6
91,91,1.0,Very Good,H,SI1,62.1,58.0,6.44,6.45,4.0,3,2,2
92,92,0.43,Ideal,G,IF,61.8,56.0,4.86,4.88,3.01,4,3,7
93,93,0.32,Premium,I,VVS2,61.9,59.0,4.38,4.35,2.7,1,1,5
94,94,1.11,Ideal,E,VVS2,62.9,55.0,6.56,6.62,4.14,4,6,5
95,95,0.7,Ideal,G,VS1,61.2,56.0,5.71,5.75,3.5,4,3,4
96,96,0.34,Ideal,G,VS2,62.2,55.0,4.5,4.47,2.79,4,3,3
97,97,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,3,1,5
98,98,0.42,Premium,D,SI2,62.1,59.0,4.82,4.78,2.98,1,5,0
99,99,0.3,Premium,D,SI1,62.1,59.0,4.31,4.29,2.67,1,5,2
100,100,1.02,Very Good,G,VS1,62.0,59.0,6.39,6.45,3.98,3,3,4
