id,carat,depth,table,x,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0,0.3,62.4,58.0,4.31,6.353,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.01,62.7,56.0,6.42,9.183,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.72,61.8,59.0,5.71,7.983,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1.08,63.2,57.0,6.54,8.371,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,0.36,62.3,59.0,4.5,6.588,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,0.53,61.4,57.0,5.18,7.496,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,1.74,62.1,59.0,7.69,8.979,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,0.33,60.0,56.0,4.53,6.877,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0.32,62.9,56.0,4.36,6.554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.27,61.8,57.0,4.16,6.683,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.63,61.1,56.0,5.52,7.484,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0.31,61.4,56.0,4.34,6.353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12,0.53,62.0,55.0,5.2,7.554,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,0.7,62.2,57.0,5.67,7.671,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,0.74,62.4,58.0,5.71,7.794,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15,1.29,62.8,58.0,6.89,8.727,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,0.71,62.0,55.0,5.71,8.087,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,0.32,62.3,57.0,4.38,6.23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18,0.52,61.6,56.0,5.18,7.451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,0.42,59.3,59.0,4.9,7.072,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,1.06,61.7,62.0,6.54,8.445,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0.58,62.3,53.0,5.38,7.365,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1.5,61.74637745643308,63.0,7.52,8.976,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,0.3,62.0,55.0,4.33,6.76,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24,1.0,61.74637745643308,56.0,6.28,8.671,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,0.51,61.4,56.0,5.15,7.911,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,1.2,61.74637745643308,59.0,7.04,8.961,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,0.41,62.3,55.0,4.78,7.266,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,0.42,61.6,57.0,4.84,7.074,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,1.12,61.9,58.0,6.74,8.456,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,1.22,62.1,59.0,6.86,8.606,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
31,0.5,60.9,61.0,5.06,7.033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,0.31,62.4,55.0,4.34,6.385,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,0.56,61.5,57.0,5.33,7.633,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0.32,61.9,54.0,4.42,6.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,0.72,61.7,56.0,5.77,7.525,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,1.08,63.4,57.0,6.54,8.573,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
37,0.31,63.1,57.0,4.3,6.347,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0.33,61.9,55.0,4.44,6.852,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,0.7,62.0,56.0,5.71,7.631,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,0.7975755778024965,61.1,57.0,8.82,9.626,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
41,1.0,61.74637745643308,56.0,6.24,8.361,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42,0.37,61.3,56.0,4.64,7.025,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0.3,61.4,56.0,4.33,6.797,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,1.7,61.9,59.0,7.59,9.09,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
45,0.32,63.0,55.0,4.39,6.356,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46,0.54,62.7,60.0,5.14,7.866,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47,0.34,60.6,57.0,4.52,6.579,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
48,1.22,61.9,55.0,6.82,8.971,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
49,0.7,61.2,56.0,5.68,8.179,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,1.22,61.8,59.0,6.86,8.837,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,1.61,59.0,60.0,7.68,9.412,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,0.71,62.5,58.0,5.69,8.115,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,0.32,62.4,58.0,4.42,5.961,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
54,0.54,61.5,55.0,5.24,7.483,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,1.0,62.5,56.0,6.38,8.094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,0.3,61.8,60.0,4.32,6.654,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,1.0,63.4,55.0,6.3,8.302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
58,0.38,62.7,55.0,4.61,7.268,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
