,id,carat,depth,table,x,price,cut_encoded,color_encoded,clarity_encoded
0,0,0.3,62.4,58.0,4.31,6.353,1,5,0
1,1,1.01,62.7,56.0,6.42,9.183,4,6,5
2,2,0.72,61.8,59.0,5.71,7.983,4,4,3
3,3,1.08,63.2,57.0,6.54,8.371,3,3,0
4,4,0.36,62.3,59.0,4.5,6.588,1,3,4
5,5,0.53,61.4,57.0,5.18,7.496,4,4,4
6,6,1.74,62.1,59.0,7.69,8.979,1,2,2
7,7,0.33,60.0,56.0,4.53,6.877,4,6,5
8,8,0.32,62.9,56.0,4.36,6.554,3,6,3
9,9,0.27,61.8,57.0,4.16,6.683,4,6,5
10,10,0.63,61.1,56.0,5.52,7.484,4,5,2
11,11,0.31,61.4,56.0,4.34,6.353,4,3,3
12,12,0.53,62.0,55.0,5.2,7.554,4,4,4
13,13,0.7,62.2,57.0,5.67,7.671,3,2,4
14,14,0.74,62.4,58.0,5.71,7.794,3,2,2
15,15,1.29,62.8,58.0,6.89,8.727,3,1,3
16,16,0.71,62.0,55.0,5.71,8.087,4,5,2
17,17,0.32,62.3,57.0,4.38,6.23,4,3,2
18,18,0.52,61.6,56.0,5.18,7.451,4,3,4
19,19,0.42,59.3,59.0,4.9,7.072,1,3,6
20,20,1.06,61.7,62.0,6.54,8.445,1,6,0
21,21,0.58,62.3,53.0,5.38,7.365,4,1,6
22,22,1.5,56.7,63.0,7.52,8.976,0,1,2
23,23,0.3,62.0,55.0,4.33,6.76,4,3,7
24,24,1.0,65.3,56.0,6.28,8.671,0,4,4
25,25,0.51,61.4,56.0,5.15,7.911,4,4,6
26,26,1.2,58.2,59.0,7.04,8.961,1,3,3
27,27,0.41,62.3,55.0,4.78,7.266,4,3,7
28,28,0.42,61.6,57.0,4.84,7.074,4,6,4
29,29,1.12,61.9,58.0,6.74,8.456,1,2,0
30,30,1.22,62.1,59.0,6.86,8.606,1,1,2
31,31,0.5,60.9,61.0,5.06,7.033,3,2,2
32,32,0.31,62.4,55.0,4.34,6.385,1,3,2
33,33,0.56,61.5,57.0,5.33,7.633,4,5,3
34,34,0.32,61.9,54.0,4.42,6.04,4,2,0
35,35,0.72,61.7,56.0,5.77,7.525,4,0,2
36,36,1.08,63.4,57.0,6.54,8.573,3,2,2
37,37,0.31,63.1,57.0,4.3,6.347,2,5,2
38,38,0.33,61.9,55.0,4.44,6.852,4,3,7
39,39,0.7,62.0,56.0,5.71,7.631,4,6,0
40,40,2.53,61.1,57.0,8.82,9.626,1,2,0
41,41,1.0,64.9,56.0,6.24,8.361,2,2,2
42,42,0.37,61.3,56.0,4.64,7.025,4,5,3
43,43,0.3,61.4,56.0,4.33,6.797,4,6,6
44,44,1.7,61.9,59.0,7.59,9.09,3,0,2
45,45,0.32,63.0,55.0,4.39,6.356,4,1,3
46,46,0.54,62.7,60.0,5.14,7.866,1,6,4
47,47,0.34,60.6,57.0,4.52,6.579,4,3,4
48,48,1.22,61.9,55.0,6.82,8.971,4,2,2
49,49,0.7,61.2,56.0,5.68,8.179,3,5,4
50,50,1.22,61.8,59.0,6.86,8.837,1,4,2
51,51,1.61,59.0,60.0,7.68,9.412,1,5,2
52,52,0.71,62.5,58.0,5.69,8.115,3,6,3
53,53,0.32,62.4,58.0,4.42,5.961,3,1,2
54,54,0.54,61.5,55.0,5.24,7.483,4,6,2
55,55,1.0,62.5,56.0,6.38,8.094,4,1,0
56,56,0.3,61.8,60.0,4.32,6.654,1,3,4
57,57,1.0,63.4,55.0,6.3,8.302,3,4,0
58,58,0.38,62.7,55.0,4.61,7.268,4,6,7
59,59,0.42,62.1,56.0,4.8,6.931,4,6,3
60,60,0.74,61.7,56.0,5.84,7.93,4,6,2
61,61,0.7,61.9,57.0,5.66,7.71,4,4,2
62,62,0.61,59.8,62.0,5.48,7.261,2,5,0
63,63,1.21,62.0,56.0,6.84,8.384,4,4,1
64,64,1.28,62.2,56.0,6.96,8.936,4,3,2
65,65,1.26,63.3,58.0,6.88,8.976,3,3,2
66,66,0.4,62.5,60.0,4.72,7.09,1,5,4
67,67,0.3,62.7,59.0,4.29,6.528,1,2,6
68,68,0.3,61.3,57.0,4.34,6.564,4,1,6
69,69,0.81,62.1,55.0,5.94,8.039,4,6,0
70,70,0.32,62.7,55.0,4.36,6.554,4,6,3
71,71,0.51,62.4,57.0,5.1,7.432,4,3,4
72,72,0.76,61.7,56.0,5.84,8.384,4,5,4
73,73,0.44,61.0,60.0,4.93,6.898,1,3,2
74,74,0.72,61.4,56.0,5.8,8.195,4,5,4
75,75,1.03,62.8,56.0,6.46,8.469,4,5,0
76,76,0.6,61.8,60.0,5.38,7.406,1,3,2
77,77,0.7,63.0,59.0,5.64,7.73,3,3,2
78,78,1.1,61.4,60.0,6.59,9.133,3,3,6
79,79,0.3,61.3,55.0,4.36,6.594,4,4,4
80,80,0.78,63.9,64.0,5.82,7.777,2,3,2
81,81,1.13,59.3,59.0,6.87,9.09,1,3,6
82,82,0.56,62.3,57.0,5.24,7.364,4,5,2
83,83,0.77,62.6,55.0,5.9,7.834,1,1,4
84,84,0.51,62.9,55.0,5.12,7.072,1,1,3
85,85,2.09,57.2,64.0,8.51,9.357,2,0,3
86,86,0.36,62.8,57.0,4.55,6.959,4,3,6
87,87,1.26,61.1,57.0,7.0,9.568,4,6,5
88,88,0.33,61.7,59.0,4.45,6.918,1,2,7
89,89,0.51,63.5,55.0,5.07,6.974,3,1,2
90,90,0.31,62.9,59.0,4.32,6.687,1,4,3
91,91,0.71,60.7,60.0,5.73,7.726,3,2,2
92,92,0.35,61.1,59.0,4.56,6.669,1,6,2
93,93,0.31,61.4,57.0,4.37,6.649,4,3,6
94,94,0.3,61.6,60.0,4.3,6.41,1,1,4
95,95,0.54,61.8,56.0,5.25,7.621,4,5,3
96,96,0.38,61.4,55.0,4.66,6.515,4,1,3
97,97,1.08,61.0,58.0,6.64,9.231,3,4,6
98,98,1.28,61.7,55.0,6.97,9.078,4,2,6
99,99,1.08,61.8,56.0,6.58,8.585,4,3,2
100,100,1.5,62.8,59.0,7.29,9.131,1,0,4
101,101,0.39,61.4,59.0,4.69,6.962,3,5,5
102,102,1.01,62.6,58.0,6.34,8.382,3,2,2
103,103,0.9,62.2,58.0,6.18,8.436,1,5,2
104,104,1.84,59.7,58.0,8.01,9.54,1,2,2
105,105,0.79,59.1,57.0,6.08,7.696,1,0,2
106,106,1.61,60.9,62.0,7.46,9.287,2,6,0
107,107,1.12,60.9,57.0,6.79,9.119,1,3,7
108,108,0.31,61.2,56.0,4.4,6.574,4,4,5
109,109,0.31,61.0,56.0,4.35,6.465,4,3,4
110,110,1.22,62.9,58.0,6.8,8.639,1,1,3
111,111,0.7,62.9,61.0,5.6,7.86,2,4,3
112,112,1.07,61.8,59.0,6.57,8.443,1,4,0
113,113,0.33,61.5,56.0,4.45,6.55,4,3,4
114,114,0.4,60.7,60.0,4.78,7.188,1,5,5
115,115,0.5,63.3,57.0,5.01,7.27,2,4,3
116,116,0.5,58.5,64.0,5.2,6.865,2,5,0
117,117,0.56,61.4,57.0,5.3,7.154,4,4,0
118,118,0.41,59.7,57.0,4.87,7.071,4,5,3
119,119,1.03,58.4,60.0,6.6,8.098,1,1,2
120,120,0.54,62.6,55.0,5.22,7.508,4,6,4
121,121,0.3,61.1,56.0,4.33,6.654,4,4,3
122,122,0.9,62.9,58.0,6.11,8.236,1,3,2
123,123,0.61,61.1,57.0,5.46,7.245,4,1,0
124,124,1.26,62.2,57.0,6.86,8.655,3,2,0
125,125,1.22,58.9,59.0,7.02,8.893,1,2,4
126,126,0.4,59.3,59.0,4.77,6.816,1,6,3
127,127,0.34,61.3,55.0,4.49,6.118,4,6,0
128,128,1.0,60.4,58.0,6.51,8.514,1,2,3
129,129,1.58,61.0,57.0,7.55,9.515,4,6,2
130,130,2.01,59.9,60.0,8.27,9.748,4,1,2
131,131,0.32,61.0,56.0,4.42,6.631,4,5,3
132,132,2.0,60.8,62.0,8.09,9.476,3,0,3
133,133,1.27,61.8,57.0,6.94,9.379,4,6,4
134,134,1.5,63.4,58.0,7.2,9.302,3,4,2
135,135,0.5,60.9,57.0,5.16,7.093,4,4,0
136,136,1.51,61.1,59.0,7.4,9.029,4,1,2
137,137,0.62,62.2,55.0,5.51,7.508,1,3,3
138,138,1.68,59.2,57.0,7.83,8.943,1,0,0
139,139,0.52,61.6,54.0,5.21,7.451,4,3,4
140,140,1.01,63.4,59.0,6.38,8.518,3,6,2
141,141,1.28,61.4,57.0,6.96,8.681,4,3,0
142,142,0.5,61.7,55.0,5.11,7.394,4,2,3
143,143,0.66,60.5,59.0,5.67,7.701,3,3,5
144,144,1.01,62.7,56.0,6.37,8.726,3,4,3
145,145,0.31,62.0,57.0,4.34,6.299,4,3,3
146,146,0.31,60.2,57.0,4.38,7.052,4,4,7
147,147,0.58,61.6,57.0,5.33,7.911,4,4,6
148,148,0.4,63.1,58.0,4.69,6.782,3,4,2
149,149,0.9,62.1,56.0,6.15,8.62,4,3,4
150,150,1.5,62.1,60.0,7.32,9.079,1,4,2
151,151,1.17,61.7,59.0,6.72,9.204,1,5,4
152,152,1.5,61.2,63.0,7.28,9.705,3,5,4
153,153,0.9,61.8,60.0,6.14,8.307,3,6,2
154,154,0.72,61.3,65.0,5.76,8.054,2,4,5
155,155,0.71,60.4,57.0,5.77,8.05,4,5,3
156,156,1.56,62.4,57.0,7.39,8.963,4,0,3
157,157,0.71,63.1,54.0,5.64,7.853,3,3,3
158,158,0.52,61.1,58.0,5.19,7.656,3,3,6
159,159,0.71,64.1,58.0,5.61,7.597,3,0,4
160,160,1.11,61.9,57.0,6.62,8.457,4,1,2
161,161,1.27,62.3,56.0,6.93,8.646,1,1,2
162,162,0.24,63.1,55.0,3.95,6.163,3,5,2
163,163,1.05,63.0,59.0,6.44,8.333,3,2,0
164,164,1.01,62.5,60.0,6.34,8.354,1,3,0
165,165,0.7,61.8,55.0,5.71,7.706,1,5,0
166,166,0.42,60.9,59.0,4.81,6.865,1,6,3
167,167,0.34,61.1,56.0,4.51,6.621,4,2,6
168,168,1.11,61.2,55.0,6.72,8.586,4,6,0
169,169,1.65,61.5,58.0,7.49,8.98,3,0,2
170,170,0.81,63.6,57.0,5.87,8.04,3,2,4
171,171,0.81,61.7,55.1,5.97,8.325,4,3,5
172,172,1.47,66.7,59.0,6.98,8.497,0,2,1
173,173,2.08,61.2,58.0,8.24,9.637,1,1,0
174,174,1.55,62.6,56.0,7.41,9.131,4,1,3
175,175,0.32,61.3,54.0,4.42,6.658,4,6,5
176,176,0.55,62.0,55.0,5.28,7.447,4,6,3
177,177,0.3,61.6,62.0,4.3,6.227,1,1,2
178,178,1.56,59.6,58.0,7.55,8.912,3,0,2
179,179,0.7,61.0,61.0,5.69,7.99,2,6,4
180,180,0.3,61.5,58.0,4.28,6.461,3,6,3
181,181,0.33,60.0,58.0,4.49,6.611,1,3,3
182,182,0.72,61.7,58.0,5.79,7.662,1,6,0
183,183,0.7,59.3,62.0,5.8,7.822,1,3,4
184,184,1.04,62.3,59.0,6.39,9.011,3,5,4
185,185,0.34,63.2,55.0,4.46,6.286,2,2,3
186,186,1.02,62.0,60.0,6.37,8.476,1,2,2
187,187,0.31,63.4,57.0,4.31,6.299,2,6,2
188,188,1.12,61.6,55.0,6.69,8.773,4,6,2
189,189,1.0,61.9,58.0,6.3,8.508,3,2,2
190,190,0.33,62.1,56.0,4.4,6.501,4,3,4
191,191,0.55,62.1,56.0,5.28,7.186,1,3,2
192,192,1.2,61.3,58.0,6.85,8.799,1,2,4
193,193,1.51,61.6,59.0,7.32,9.282,1,3,2
194,194,0.54,61.2,58.0,5.21,7.442,3,6,3
195,195,0.32,61.3,58.0,4.39,6.474,1,1,4
196,196,0.33,61.4,59.0,4.49,6.75,1,3,4
197,197,0.54,62.1,56.0,5.19,7.593,4,3,5
198,198,0.3,61.7,55.0,4.31,6.849,4,6,7
199,199,0.31,60.9,60.0,4.38,6.142,1,0,2
200,200,0.41,58.0,61.0,4.86,6.792,2,4,4
201,201,0.72,62.2,58.0,5.72,7.807,4,2,2
202,202,0.43,61.5,56.0,4.86,7.169,4,2,6
203,203,0.9,61.1,56.0,6.23,8.267,3,4,2
204,204,0.3,66.6,54.0,4.14,6.373,0,6,5
205,205,1.01,62.4,58.0,6.41,8.717,1,3,3
206,206,1.5,62.1,60.0,7.34,8.868,1,3,0
207,207,0.56,61.1,57.0,5.38,7.53,1,6,3
208,208,0.33,62.4,54.0,4.41,6.41,4,5,2
209,209,0.5,63.1,57.0,5.04,7.447,3,5,4
210,210,1.2,62.9,59.0,6.75,8.695,1,3,4
211,211,0.7,62.2,55.0,5.62,7.672,3,1,2
212,212,0.38,62.4,54.0,4.68,6.906,4,4,4
213,213,0.43,61.5,56.0,4.87,6.97,4,5,2
214,214,0.42,62.1,55.0,4.79,7.19,4,5,5
215,215,0.31,61.8,56.0,4.36,6.771,4,6,3
216,216,1.04,62.3,58.0,6.44,8.338,3,4,0
217,217,1.26,61.5,59.0,6.92,9.056,4,6,2
218,218,0.3,62.2,55.0,4.29,6.314,4,5,2
219,219,1.56,61.5,58.0,7.47,9.406,1,6,3
220,220,0.43,61.0,57.0,4.87,6.875,1,4,3
221,221,0.5,59.6,61.0,5.12,7.102,2,4,2
222,222,0.27,62.9,55.0,4.13,6.339,3,3,6
223,223,0.78,62.2,56.0,5.85,8.207,3,5,3
224,224,0.53,63.2,56.0,5.14,7.482,2,6,4
225,225,1.06,62.1,58.0,6.49,8.515,4,3,0
226,226,0.4,63.1,59.0,4.68,6.844,3,4,4
227,227,0.59,63.4,56.0,5.36,7.227,4,3,2
228,228,1.08,63.5,56.0,6.53,8.223,3,6,0
229,229,1.21,62.8,55.0,6.79,8.68,4,2,3
230,230,0.4,61.7,58.0,4.74,6.898,1,5,2
231,231,0.41,62.6,57.0,4.77,6.735,4,5,0
232,232,0.32,62.7,54.0,4.4,6.628,4,5,2
233,233,0.58,58.5,55.0,5.52,7.249,1,6,2
234,234,1.1,61.8,58.0,6.6,8.362,3,0,0
235,235,0.71,58.0,61.0,5.83,7.847,2,4,4
236,236,0.33,59.1,60.0,4.48,6.649,3,4,4
237,237,0.25,61.5,60.0,4.02,6.075,1,6,4
238,238,0.25,62.1,57.0,4.02,6.282,4,6,3
239,239,1.0,62.5,59.0,6.38,8.679,1,5,2
240,240,0.7,62.8,59.0,5.65,8.024,3,4,4
241,241,0.32,61.4,56.0,4.39,6.579,4,3,3
